,chrom_stft,mfcc,rmse,rolloff,spec_bw,spec_cent,zcr,genre
0,0.363602838496103,1.03348001696895,0.175573036074638,3040.51494775542,1747.16598496131,1552.48195824589,0.076300747992454,blues
1,0.269320021614413,-2.99099005358144,0.119071714580059,2739.62510052849,1567.80459572962,1361.04546732789,0.069123920641447,blues
2,0.37470971953571,-0.754204190135288,0.110496260225773,4972.50326528638,2256.53811517327,2340.43287338255,0.121775151775348,blues
3,0.291884390446874,-5.77439508138432,0.116569928824902,5004.1114074896,2209.69934577183,2371.09927779278,0.125140966645704,blues
4,0.452728355231372,4.92031479901277,0.200888529419899,4062.94209861165,1987.32041579511,2030.48522375162,0.103385996154218,blues
5,0.30234642657348,-7.10564753447213,0.103467583656311,3480.9372845818,1729.4832411267,1831.94236759667,0.094039869751355,blues
6,0.289932320004588,-1.33437940254054,0.103115268051624,5247.44326942845,2345.23061418645,2513.71681732961,0.135146197150735,blues
7,0.348553475882535,-6.25285450130644,0.052862491458654,1453.88287523583,1285.20124038702,798.266185562156,0.025639678671633,blues
8,0.329162734681348,-3.60762588855018,0.06698053330183,2344.95248705979,1705.81750152421,1172.06569524519,0.045045834945821,blues
9,0.396258316320763,4.79458235508141,0.235238000750542,4221.14947528662,2085.15944756519,2061.15073506137,0.113396895559211,blues
10,0.336773093373581,0.554782206326184,0.158098042011261,3083.41468834656,1870.53415508823,1442.19027057929,0.050889337025929,blues
11,0.302096285414545,-1.52761625965374,0.093281544744968,2134.41209350208,1410.94795440806,1088.69816608098,0.048323970830108,blues
12,0.30526217800779,-0.299542287853107,0.120541788637638,5065.02770580375,2286.62528109805,2429.26093416063,0.134686638327206,blues
13,0.380260210341482,2.3938428489685,0.248262286186218,4196.10796004257,1956.61105622332,2116.94295900516,0.127272473031153,blues
14,0.429510879673974,1.12309836505343,0.148365646600723,4551.15581311678,2290.40173892151,1739.01962094565,0.048051863631966,blues
15,0.377687767406781,1.41770978384477,0.13189010322094,3470.40401494171,1972.20226149826,1613.31572522628,0.05823585344911,blues
16,0.337922168530768,-0.548663185334551,0.129096269607544,4755.42957790127,2176.03118928977,2258.5384186657,0.112765002176858,blues
17,0.393755548247716,4.85494334396016,0.19672292470932,3942.83449155258,1927.80369238392,1977.17237723504,0.106627095225426,blues
18,0.248627402223348,-11.787354671082,0.069145128130913,2339.63585254209,1682.86015044111,1188.1683365998,0.048160328584559,blues
